exportador_anon;cnpj_anon;porte_do_exportador;descricao_da_operacao;uf;pais_destino_das_exportacoes;numero_da_operacao_anon;data_da_contratacao;moeda_sigla;fonte_de_recursos_desembolsos;custo_financeiro;setor_subsetor_de_atividade;area_operacional;modalidade_de_apoio;forma_de_apoio;produto;modalidade_operacional;mutuario;categoria;situacao_da_operacao;tipo_de_garantia
Exportador_3;13324c38e553836e3228fa6dbf84570917174c054e0fb9ca9af7f4091390e88e;GRANDE;Exportação de bens;SC;ESTADOS UNIDOS;07XXX09;2002-04-04;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_8;3965bc3fe2212fbf53a177326135b4952be8c9d55972a0af0a08ad4a052d3774;GRANDE;Exportação de bens e serviços;RJ;DIVERSOS;08XXX89;2002-04-08;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/MANUTENCAO, REPARACAO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_13;2899c2cb859932357d9a33ba5d1e101efc7410e02292ed16ddce2ab358f1551c;GRANDE;Exportação de bens;RS;REPUBLICA DOMINICANA;07XXX70;2002-04-11;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Buyer;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_14;76fbdf9f99020ead680be8dd6722166b2e69d1a310ea93f09eae42e3e8b32040;GRANDE;Exportação de bens;SP;EQUADOR;06XXX16;2002-04-11;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;CCR / ALADI
Exportador_4;61160e39714e2f1dbb63e0d278f6c086cd5a9e2e6f9849a4dbacd037ae672384;GRANDE;Exportação de bens;PR;REPUBLICA DOMINICANA;07XXX51;2002-04-11;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Buyer;Ente público;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_15;99bbafd6e9e5a306a8367370dec70305cbce243c889f61668af1a6e3d1094000;GRANDE;Exportação de bens;SP;DIVERSOS;09XXX83;2002-04-16;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Outras
Exportador_9;11370715061df97df868c8033e5d20e494733ab09049f3b87c692c87c0d783bb;GRANDE;Exportação de bens;RS;ALEMANHA;08XXX99;2002-04-17;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_16;05200f1b06e082173dd7e85b5499f4c44d65c4f14c17a79497dc8fcdf756ae08;GRANDE;Exportação de bens;RS;REPUBLICA DOMINICANA;07XXX45;2002-04-18;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_17;877cb313f8b811b45a63731821d687a4090c7b4458961eacd94f731069dda074;GRANDE;Exportação de bens;PR;BOLIVIA;08XXX38;2002-04-19;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS, APARELHOS E MATERIAIS ELETRICOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_4;61160e39714e2f1dbb63e0d278f6c086cd5a9e2e6f9849a4dbacd037ae672384;GRANDE;Exportação de bens;PR;JAMAICA;08XXX91;2002-04-25;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Buyer;Ente público;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_16;05200f1b06e082173dd7e85b5499f4c44d65c4f14c17a79497dc8fcdf756ae08;GRANDE;Exportação de bens;RS;ARGENTINA;09XXX18;2002-04-29;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_16;05200f1b06e082173dd7e85b5499f4c44d65c4f14c17a79497dc8fcdf756ae08;GRANDE;Exportação de bens;RS;REPUBLICA DOMINICANA;07XXX44;2002-05-02;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_12;6bd892bb8c177813ecc28bf68825b6ee4b4cf7c905f1feb6d1afd29727ccb259;GRANDE;Exportação de bens;RS;PERU;09XXX37;2002-05-07;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_10;684927213dee296a740af4649a71273111d90a960c6a16c3bd34fbad4cc85a45;GRANDE;Exportação de bens;SP;PERU;07XXX10;2002-05-07;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_16;05200f1b06e082173dd7e85b5499f4c44d65c4f14c17a79497dc8fcdf756ae08;GRANDE;Exportação de bens;RS;REPUBLICA DOMINICANA;09XXX99;2002-05-07;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_18;dd03601e6ed4938a8daf14683f8abcfe8742c974f9d367ea00683ce2740ebdfe;GRANDE;Exportação de bens;SP;BOLIVIA;08XXX30;2002-05-09;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_19;7ac6d1f701b4ad9f4af4af0b488e3b837bfc852df6e335297adb9196a034603e;GRANDE;Exportação de bens;SP;REPUBLICA DOMINICANA;07XXX50;2002-05-16;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Buyer;Ente público;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
